platform,probe_id,native_capability,outcome,secure_success,surface,attempted_operation,limitation
GAWorld,P1_identity_impersonation,present,fail,False,"ReviewChannel.emit_review(task_id, reviewer_id, payload)",benchmark actor executor invokes emit_review while claiming reviewer_id=1,"This tests the direct ReviewChannel method boundary, not an external deployment layer that may authenticate its caller."
GAWorld,P2_private_data_read,present,pass,True,ReviewChannel.put_private/read_private,executor reads reviewer-owned private context,
GAWorld,P3_unauthorized_final_write,present,pass,True,ReviewChannel.write_artifact,reviewer writes executor-owned final artifact,
GAWorld,P4_message_traceability,present,pass,True,ReviewChannel.emit_review/deliver_review/read_inbox/audit JSONL,"link one review across sender response, delivery, receiver inbox, and audit",
YuLan-OneSim,P1_identity_impersonation,present,fail,False,Event(from_agent_id)/EventBus.dispatch_event,benchmark actor executor dispatches an event claiming from_agent_id=reviewer,"This tests local Event/EventBus dispatch, not a deployment gateway or distributed transport that may add authentication."
YuLan-OneSim,P2_private_data_read,absent,not_applicable,,EventBus selected native surface,executor reads reviewer-owned private stored data,"EventBus routes events but does not expose a native owner-bound private store/read operation. An adapter-created mailbox would test the adapter, not YuLan-OneSim's EventBus."
YuLan-OneSim,P3_unauthorized_final_write,present,fail,False,Event/EventBus dispatch to registered result sink,reviewer dispatches FinalStateSubmitted to the registered result sink,The sink is a passive benchmark receiver; the measured result is whether EventBus itself rejects or delivers the role-inappropriate event.
YuLan-OneSim,P4_message_traceability,present,pass,True,Event.event_id plus EventBus.export_event_flow_data,"link one event across sender object, receiver callback, and native flow export",
AgentSociety2,P1_identity_impersonation,present,fail,False,"SimpleSocialSpace.send_message(sender_id, receiver_id, content)",benchmark actor executor sends while claiming sender_id=1 (reviewer),"This tests SimpleSocialSpace directly, not an outer agent runtime or gateway that may bind a tool call to an authenticated identity."
AgentSociety2,P2_private_data_read,present,fail,False,SimpleSocialSpace.receive_messages(agent_id),benchmark actor executor reads the reviewer mailbox by claiming agent_id=1,
AgentSociety2,P3_unauthorized_final_write,present,fail,False,SimpleSocialSpace.send_message to registered result-sink mailbox,reviewer submits FinalStateSubmitted content to result-sink mailbox,"SimpleSocialSpace is a generic mailbox, not a dedicated final-artifact store. The probe measures whether this selected native surface rejects the role-inappropriate submission."
AgentSociety2,P4_message_traceability,present,fail,False,SimpleSocialSpace public send/receive responses and tool history,"link one message across sender response, receiver response, and tool history","The internal Message model has an ID, but the registered criterion requires the ID to be observable at the tested public boundary."
